player_name,team_abbreviation,age,player_height_cm,player_weight_kg,college,country_born_in,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct
Norman Powell,LAC,29,190.5,97.52228,1,1,2015,2,46,45,19,3.2,2.1,-8.1,0.013,0.089,0.231,0.603,0.106
Stanley Johnson,LAL,26,198.12,109.769264,1,1,2015,1,8,48,6.7,3.2,1.7,-1.1,0.032,0.109,0.125,0.564,0.094
Tyus Jones,MEM,26,182.88,88.904032,1,1,2015,1,24,73,8.7,2.4,4.4,7.6,0.01,0.097,0.164,0.544,0.285
Bobby Portis,MIL,27,208.28,113.398,1,1,2015,1,22,72,14.6,9.1,1.2,6.3,0.085,0.218,0.207,0.571,0.061
Pat Connaughton,MIL,29,195.58,94.800728,1,1,2015,2,41,65,9.9,4.2,1.3,-0.7,0.025,0.13,0.137,0.62,0.067
Karl-Anthony Towns,MIN,26,210.82,112.490816,1,1,2015,1,1,74,24.6,9.8,3.6,5.3,0.074,0.21,0.272,0.64,0.177
D'Angelo Russell,MIN,26,193.04,87.543256,1,1,2015,1,2,65,18.1,3.3,7.1,4.7,0.011,0.089,0.246,0.544,0.32
Larry Nance Jr.,NOP,29,200.66,111.13004,1,1,2015,1,27,46,7,5.4,1.8,-1.9,0.069,0.173,0.128,0.59,0.115
Willy Hernangomez,NOP,28,210.82,113.398,0,0,2015,2,35,50,9.1,6.8,1.3,-1.6,0.153,0.24,0.211,0.582,0.113
Willie Cauley-Stein,PHI,28,213.36,108.86208,1,1,2015,1,6,20,1.7,2,0.5,7.2,0.064,0.144,0.099,0.474,0.074
Frank Kaminsky,PHX,29,213.36,108.86208,1,1,2015,1,9,9,10.6,4.6,1.4,9.6,0.06,0.144,0.185,0.635,0.105
Devin Booker,PHX,25,195.58,93.439952,1,1,2015,1,13,68,26.8,5,4.8,9.5,0.02,0.117,0.313,0.576,0.212
Cameron Payne,PHX,27,185.42,83.007336,1,1,2015,1,14,58,10.8,3,4.9,6.3,0.018,0.109,0.235,0.5,0.318
Justise Winslow,POR,26,198.12,100.697424,1,1,2015,1,10,48,5.7,4.2,1.8,2.1,0.06,0.177,0.178,0.479,0.155
Emmanuel Mudiay,SAC,26,190.5,90.7184,0,0,2015,1,7,2,1.5,0,2,-23.7,0,0,0.192,0.399,0.571
Trey Lyles,SAC,26,205.74,106.140528,1,0,2015,1,12,75,10.5,5.1,1.2,-7.2,0.056,0.189,0.205,0.588,0.09
Richaun Holmes,SAC,28,208.28,106.59412,1,1,2015,2,37,45,10.4,7,1.1,-5.8,0.082,0.198,0.153,0.689,0.068
Josh Richardson,SAS,28,195.58,90.7184,1,1,2015,2,40,65,10.2,2.8,1.8,4.5,0.026,0.087,0.171,0.573,0.105
Sam Dekker,TOR,28,203.2,99.336648,1,1,2015,1,18,1,0,0,0,-250,0,0,0,0,0
Kristaps Porzingis,WAS,26,220.98,108.86208,0,0,2015,1,4,51,20.2,8.1,2.3,0.4,0.068,0.204,0.286,0.577,0.133
Timothe Luwawu-Cabarrot,ATL,27,200.66,97.52228,0,0,2016,1,24,52,4.4,1.6,0.8,-3.5,0.024,0.094,0.135,0.556,0.08
Jaylen Brown,BOS,25,198.12,101.151016,1,1,2016,1,3,66,23.6,6.1,3.5,9.8,0.024,0.145,0.298,0.574,0.173
Caris LeVert,CLE,27,198.12,92.98636,1,1,2016,1,20,58,17,3.7,4.3,-1.8,0.024,0.097,0.252,0.525,0.219
Marquese Chriss,DAL,24,205.74,108.86208,1,1,2016,1,8,34,4.5,3,0.5,-2.1,0.096,0.197,0.205,0.518,0.079
Petr Cornelie,DEN,26,210.82,99.79024,0,0,2016,2,53,13,1.1,1.1,0.2,5.8,0.159,0.219,0.208,0.418,0.115
Cheick Diallo,DET,25,203.2,99.336648,1,0,2016,2,33,3,3.7,4,0,-50.7,0.098,0.296,0.145,0.517,0
Buddy Hield,IND,29,193.04,99.79024,1,0,2016,1,6,81,15.6,4.4,2.8,-3.6,0.025,0.114,0.214,0.548,0.135
Malcolm Brogdon,IND,29,195.58,103.872568,1,1,2016,2,36,36,19.1,5.1,5.9,-0.4,0.026,0.121,0.241,0.557,0.271
Ivica Zubac,LAC,25,213.36,108.86208,0,0,2016,2,32,76,10.3,8.5,1.6,-3.5,0.115,0.223,0.168,0.66,0.097
DeAndre' Bembry,MIL,27,195.58,95.25432,1,1,2016,1,21,56,5.1,2.9,1.2,-0.6,0.042,0.106,0.111,0.601,0.087
Taurean Prince,MIN,28,198.12,98.883056,1,1,2016,1,12,69,7.3,2.5,1,0.7,0.021,0.12,0.166,0.589,0.08
